date	Community-based family support	Baby and Child Institutions	Child Protection	Foster Care
8/05/2019	33.60777385	33.07420495	11.51236749	21.80565371
17/05/2019	33.77031802	32.98939929	11.49823322	21.74204947
26/05/2019	33.93286219	32.90459364	11.48409894	21.67844523
4/06/2019	34.09540636	32.81978799	11.46996466	21.61484099
13/06/2019	34.25795053	32.73498233	11.45583039	21.55123675
22/06/2019	34.4204947	32.65017668	11.44169611	21.48763251
1/07/2019	34.58303887	32.56537102	11.42756184	21.42402827
10/07/2019	34.74558304	32.48056537	11.41342756	21.36042403
19/07/2019	34.90812721	32.39575972	11.39929329	21.29681979
28/07/2019	35.07067138	32.31095406	11.38515901	21.23321555
6/08/2019	35.23321555	32.22614841	11.37102473	21.16961131
15/08/2019	35.39575972	32.14134276	11.35689046	21.10600707
24/08/2019	35.55830389	32.0565371	11.34275618	21.04240283
2/09/2019	35.72084806	31.97173145	11.32862191	20.97879859
11/09/2019	35.88339223	31.8869258	11.31448763	20.91519435
20/09/2019	36.0459364	31.80212014	11.30035336	20.85159011
29/09/2019	36.20848057	31.71731449	11.28621908	20.78798587
8/10/2019	36.37102473	31.63250883	11.27208481	20.72438163
17/10/2019	36.5335689	31.54770318	11.25795053	20.66077739
26/10/2019	36.69611307	31.46289753	11.24381625	20.59717314
4/11/2019	36.85865724	31.37809187	11.22968198	20.5335689
13/11/2019	37.02120141	31.29328622	11.2155477	20.46996466
22/11/2019	37.18374558	31.20848057	11.20141343	20.40636042
1/12/2019	37.34628975	31.12367491	11.18727915	20.34275618
10/12/2019	37.50883392	31.03886926	11.17314488	20.27915194
19/12/2019	37.67137809	30.9540636	11.1590106	20.2155477
28/12/2019	37.83392226	30.86925795	11.14487633	20.15194346
6/01/2020	37.99646643	30.7844523	11.13074205	20.08833922
15/01/2020	38.1590106	30.69964664	11.11660777	20.02473498
24/01/2020	38.32155477	30.61484099	11.1024735	19.96113074
2/02/2020	38.48409894	30.53003534	11.08833922	19.8975265
11/02/2020	38.64664311	30.44522968	11.07420495	19.83392226
20/02/2020	38.80918728	30.36042403	11.06007067	19.77031802
29/02/2020	38.97173145	30.27561837	11.0459364	19.70671378
9/03/2020	39.13427562	30.19081272	11.03180212	19.64310954
18/03/2020	39.29681979	30.10600707	11.01766784	19.5795053
27/03/2020	39.45936396	30.02120141	11.00353357	19.51590106
5/04/2020	39.62190813	29.93639576	10.98939929	19.45229682
14/04/2020	39.7844523	29.85159011	10.97526502	19.38869258
23/04/2020	39.94699647	29.76678445	10.96113074	19.32508834
2/05/2020	40.10954064	29.6819788	10.94699647	19.2614841
11/05/2020	40.27208481	29.59717314	10.93286219	19.19787986
20/05/2020	40.43462898	29.51236749	10.91872792	19.13427562
29/05/2020	40.59717314	29.42756184	10.90459364	19.07067138
7/06/2020	40.75971731	29.34275618	10.89045936	19.00706714
16/06/2020	40.92226148	29.25795053	10.87632509	18.9434629
25/06/2020	41.08480565	29.17314488	10.86219081	18.87985866
4/07/2020	41.24734982	29.08833922	10.84805654	18.81625442
13/07/2020	41.40989399	29.00353357	10.83392226	18.75265018
22/07/2020	41.57243816	28.91872792	10.81978799	18.68904594
31/07/2020	41.73498233	28.83392226	10.80565371	18.6254417
9/08/2020	41.8975265	28.74911661	10.79151943	18.56183746
18/08/2020	42.06007067	28.66431095	10.77738516	18.49823322
27/08/2020	42.22261484	28.5795053	10.76325088	18.43462898
5/09/2020	42.38515901	28.49469965	10.74911661	18.37102473
14/09/2020	42.54770318	28.40989399	10.73498233	18.30742049
23/09/2020	42.71024735	28.32508834	10.72084806	18.24381625
